Barcode NO.,Isc(A),Voc(V),Imp(A),Vmp(V),Pmax(W),Carton NO.,Pallet NO.,Cable Length,Connector,Country of Origin,Current Sorting
11702050580496,9.26,45.25,8.75,36.16,316.50,170520204388,19,1160mm,PV2b,CN,I3
11702050580435,9.17,45.20,8.72,36.25,316.30,170520204388,19,1160mm,PV2b,CN,I3
11702050580579,9.33,45.31,8.79,36.25,318.80,170520204388,19,1160mm,PV2b,CN,I3
11702050580475,9.20,45.31,8.78,36.17,317.60,170520204388,19,1160mm,PV2b,CN,I3
11702050580409,9.18,45.18,8.80,36.13,317.80,170520204388,19,1160mm,PV2b,CN,I3
11702050580575,9.21,45.41,8.78,36.29,318.80,170520204388,19,1160mm,PV2b,CN,I3
11702050590643,9.29,45.52,8.82,36.24,319.50,170520204437,20,1160mm,PV2b,CN,I3
11702050590085,9.19,45.24,8.79,36.03,316.60,170520204437,20,1160mm,PV2b,CN,I3
11702050580324,9.28,45.35,8.83,36.13,318.90,170520204437,20,1160mm,PV2b,CN,I3
11702050580559,9.23,45.25,8.78,36.29,318.60,170520204437,20,1160mm,PV2b,CN,I3
11702050580137,9.26,45.51,8.94,35.70,319.20,170520204437,20,1160mm,PV2b,CN,I3
11702050580495,9.19,45.23,8.79,36.04,316.70,170520204437,20,1160mm,PV2b,CN,I3
11702050580182,9.24,45.40,8.95,35.67,319.40,170520204437,20,1160mm,PV2b,CN,I3
11702050580044,9.19,45.53,8.94,35.70,319.00,170520204437,20,1160mm,PV2b,CN,I3
11702050580550,9.21,45.32,8.75,36.14,316.30,170520204437,20,1160mm,PV2b,CN,I3
11702050580520,9.23,45.32,8.85,36.03,318.70,170520204437,20,1160mm,PV2b,CN,I3
11702050580164,9.21,45.41,8.99,35.23,316.80,170520204437,20,1160mm,PV2b,CN,I3
11702050580146,9.24,45.46,8.99,35.23,316.80,170520204437,20,1160mm,PV2b,CN,I3
11702050580067,9.23,45.44,9.02,35.25,317.80,170520204437,20,1160mm,PV2b,CN,I3
